region,mountain
new-england,Mount Snow
new-england,Smugglers Notch
new-england,Attitash
new-england,Wildcat Mountain
new-england,Loon Mountain
new-england,Ragged Mountain
new-england,Burke Mountain
new-england,Cranmore Mountain
new-england,Magic Mountain
new-england,Crotched Mountain
new-england,Mad River Glen
new-england,Mt Abram
new-england,Granite Gorge
new-england,Jay Peak
new-england,Sugarloaf
new-england,Bretton Woods
new-england,Jiminy Peak
new-england,Black Mountain NH 
new-england,Bousquet
new-england,Killington
new-england,Gunstock
new-england,Pico Mountain
new-england,Berkshire East Mountain Resort
new-england,Blue Hills
new-england,Camden Snow Bowl
new-england,Otis Ridge
new-england,Sugarbush
new-england,Stowe
new-england,Stowe Mountain XC
new-england,Okemo Mountain
new-england,Okemo Nordic Center
new-england,Jay Peak XC
new-england,Smugglers Notch XC
new-england,Bolton Valley XC
new-england,Wachusett
new-england,Mount Sunapee
new-england,Mount Southington
new-england,Shawnee Peak ME 
new-england,Quarry Road Trails
new-england,Jackson Cross Country
new-england,Pats Peak
new-england,Ski Butternut
new-england,Lost Valley
new-england,Whaleback
new-england,Catamount Outdoor Family Center
new-england,Yawgoo Valley
new-england,Cranwell Resort XC
new-england,Granite Gorge XC
new-england,Bretton Woods XC
new-england,Balsams Wilderness XC
new-england,Great Glen Trails XC
new-england,Craftsbury Outdoor Center XC
new-england,Weston Ski Track XC
new-england,Franconia XC
new-england,Ski Hearth Trails
new-england,The Quechee Club
new-england,Stump Sprouts XC
new-england,Northfield Mtn XC
new-england,New England Outdoor Center
new-england,Mountain Top XC
new-england,Notchview Reservation XC
new-england,Mountain Meadows XC
new-england,Winding Trails XC
new-england,Trapp Family Lodge XC
new-england,Ole s XC
new-england,Blueberry Lake XC
new-england,Morse Farm XC
new-england,Ski Blandford
new-england,Millstone XC
new-england,Smiling Hill Farm
new-england,Titcomb Mountain XC
new-england,Black Mountain of Maine XC
new-england,Canterbury Farm XC
new-england,Maine Huts and Trails
new-england,Waterville Valley XC
new-england,Gunstock XC
new-england,Dexters Inn Norsk XC
new-england,Grafton Ponds
new-england,Hildene
new-england,Maple Corner Farm XC
new-england,Highland Lodge XC
new-england,Sleepy Hollow Inn XC
new-england,Balsams Wilderness
new-england,Baker Mountain
new-england,Bethel Inn XC
new-england,Sunday River XC
new-england,Carters Oxford XC
new-england,Kingdom Trails XC
new-england,Pineland Farms XC
new-england,Storrs Hill
new-england,Timber Creek XC
new-england,Blueberry Hill XC
new-england,Arrowhead
new-england,New Hermon Mtn
new-england,Brattleboro Outing Club
new-england,Rikert Middlebury XC
new-england,Prospect Mountain XC
new-england,Titcomb Mountain
new-england,Mt Jefferson
new-england,Big Rock
new-england,Spruce Mountain
new-england,Powderhouse Hill
new-england,Harris Farm XC
new-england,Five Fields Farm XC
new-england,Viking Nordic XC
new-england,Strafford Nordic Center
new-england,Wild Wings XC
new-england,Windblown XC
new-england,Pine Hill XC
new-england,Rangeley Lakes XC
new-england,Woodstock XC
new-england,Carters Bethel XC
new-england,Middlebury College Snow Bowl
new-england,Bear Notch XC
new-england,Quechee Lakes
new-england,Hilltop Orchards XC
new-england,King Pine XC
new-england,Nordic Skier XC
new-england,Sugarloaf Outdoor XC
new-england,Nordic Heritage XC
new-england,Caribou Ski Trails XC
new-england,Mt Washington Valley Ski Touring
new-england,Big Squaw Mountain
new-england,Eastman XC
new-england,Hidden Valley Nature Center
new-england,Powder Ridge Park
new-england,Mohawk Mountain
new-england,Ski Sundown
new-england,Woodbury
new-england,Stratton
new-england,Sunday River
new-england,Waterville Valley
new-england,Bolton Valley
new-england,Bromley Mountain
new-england,King Pine
new-england,Suicide Six
new-england,Dartmouth Skiway
colorado,Arapahoe Basin
colorado,Winter Park
colorado,Ski Granby Ranch
colorado,Monarch Mountain
colorado,Echo Mountain
colorado,Purgatory Mountain
colorado,Loveland Ski Area
colorado,Beaver Creek
colorado,Keystone
colorado,Vail
colorado,Breckenridge
colorado,Eldora
colorado,Howelsen Hill Ski Area
colorado,Aspen Snowmass XC
colorado,Crested Butte XC
colorado,Steamboat XC
colorado,Vail Nordic Center
colorado,Powderhorn
colorado,Ski Cooper
colorado,Kendall Mountain
colorado,Ashcroft XC
colorado,CS Irwin Cat Skiing
colorado,Tennessee Pass XC
colorado,Gold Run XC
colorado,Snow Mountain XC
colorado,Vista Verde Ranch XC
colorado,Ski Hesperus
colorado,Wolf Creek
colorado,Grand Lake Touring Center
colorado,Devils Thumb Ranch
colorado,Copper Mountain
colorado,Sunlight Mountain
colorado,Telluride
colorado,Crested Butte
